question_id,lesson_id,icon_first,icon_second,position_first,position_second,ja_show_first,ja_show_second,audio_auto,sentence_first_en,sentence_second_en,sentence_first_ja,sentence_second_ja,answer,chips,audio_first,audio_second
u25_l5_p4,u25_l5,user,,right,none,1,,0,________.,,私は友達にメッセージを送った。（SVOO）,,I sent my friend a message,I|sent|my|friend|a|message,25-5-4-a.mp3,
u25_l5_p5,u25_l5,user,,right,none,1,,0,________.,,私たちは日曜日にサッカーをする。（SVO）,,We play soccer on Sundays,We|play|soccer|on|Sundays,25-5-5-a.mp3,
u25_l5_p6,u25_l5,user,,right,none,1,,0,________.,,私は財布をなくした。（SVO）,,I lost my wallet,I|lost|my|wallet,25-5-6-a.mp3,
u25_l5_p7,u25_l5,user,,right,none,1,,0,________.,,彼は新しい自転車を見せてくれた。（SVOO）,,He showed me his new bike,He|showed|me|his|new|bike,25-5-7-a.mp3,
u25_l5_p8,u25_l5,user,,right,none,1,,0,________.,,彼女は毎日本を読む。（SVO）,,She reads books every day,She|reads|books|every|day,25-5-8-a.mp3,
u25_l5_p9,u25_l5,user,,right,none,1,,0,________.,,祖母は私に物語を話してくれた。（SVOO）,,My grandmother told me a story,My|grandmother|told|me|a|story,25-5-9-a.mp3,
u25_l5_p10,u25_l5,user,,right,none,1,,0,________.,,私は宿題を終えた。（SVO）,,I finished my homework,I|finished|my|homework,25-5-10-a.mp3,
u25_l5_p11,u25_l5,user,,right,none,1,,0,________.,,父は私にゲームを買ってくれた。（SVOO）,,Dad bought me a game,Dad|bought|me|a|game,25-5-11-a.mp3,
u25_l5_p12,u25_l5,user,,right,none,1,,0,________.,,犬は猫を追いかけた。（SVO）,,The dog chased the cat,The|dog|chased|the|cat,25-5-12-a.mp3,
u25_l5_p13,u25_l5,user,,right,none,1,,0,________.,,彼女は息子にクッキーをあげた。（SVOO）,,She gave her son some cookies,She|gave|her|son|some|cookies,25-5-13-a.mp3,
u25_l5_p14,u25_l5,user,,right,none,1,,0,________.,,私は京都に行ったことがある。（SVO）,,I've visited Kyoto,I've|visited|Kyoto,25-5-14-a.mp3,
u25_l5_p15,u25_l5,user,,right,none,1,,0,________?,,あなたのペンを貸してくれる？（SVOO）,,Can you lend me your pen,Can|you|lend|me|your|pen,25-5-15-a.mp3,
u25_l7_p1,u25_l7,user,,right,none,1,,0,________.,,そのニュースで私は悲しくなった。,,The news made me sad,The|news|made|me|sad,25-7-1-a.mp3,
u25_l7_p2,u25_l7,user,,right,none,1,,0,________.,,その映画で私たちは幸せな気分になった。,,The movie made us happy,The|movie|made|us|happy,25-7-2-a.mp3,
u25_l7_p3,u25_l7,user,,right,none,1,,0,________.,,両親は私を太郎と名付けた。,,My parents named me Taro,My|parents|named|me|Taro,25-7-3-a.mp3,
u25_l7_p4,u25_l7,user,,right,none,1,,0,________.,,先生は私をポチと呼んだ。,,The teacher called me Pochi,The|teacher|called|me|Pochi,25-7-4-a.mp3,
u25_l7_p5,u25_l7,user,,right,none,1,,0,________.,,私はそのゲームを面白いと思った。,,I found the game interesting,I|found|the|game|interesting,25-7-5-a.mp3,
u25_l7_p6,u25_l7,user,,right,none,1,,0,________.,,私たちはドアを青く塗った。,,We painted the door blue,We|painted|the|door|blue,25-7-6-a.mp3,
u25_l7_p7,u25_l7,user,,right,none,1,,0,________.,,雨のせいで私たちは中にいた。,,The rain kept us inside,The|rain|kept|us|inside,25-7-7-a.mp3,
u25_l7_p8,u25_l7,user,,right,none,1,,0,________.,,私たちは彼女をリーダーに選んだ。,,We elected her leader,We|elected|her|leader,25-7-8-a.mp3,
u25_l7_p9,u25_l7,user,,right,none,1,,0,________.,,先生は私の答えが正しいと思った。,,The teacher found my answer correct,The|teacher|found|my|answer|correct,25-7-9-a.mp3,
u25_l7_p10,u25_l7,user,,right,none,1,,0,________.,,彼の言葉で私は腹が立った。,,His words made me angry,His|words|made|me|angry,25-7-10-a.mp3,
u25_l7_p11,u25_l7,user,,right,none,1,,0,________.,,私は部屋をきれいに保っている。,,I keep my room clean,I|keep|my|room|clean,25-7-11-a.mp3,
u25_l7_p12,u25_l7,user,,right,none,1,,0,________.,,そのジョークでみんな楽しい気分になった。,,The joke made everyone happy,The|joke|made|everyone|happy,25-7-12-a.mp3,
u25_l7_p13,u25_l7,user,,right,none,1,,0,________.,,彼らは壁を白く塗った。,,They painted the wall white,They|painted|the|wall|white,25-7-13-a.mp3,
u25_l7_p14,u25_l7,user,,right,none,1,,0,________.,,その経験で彼女は強くなった。,,The experience made her stronger,The|experience|made|her|stronger,25-7-14-a.mp3,
