question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second,highlight_chips
e0617,va0309,take care of,Can you take care of my dog this weekend?,"Of course, I love your dog!",今週末うちの犬の世話してくれる？,もちろん、君の犬大好きだから！,Ivy,Matthew,1,Ivy,Matthew,___________,"Of course, I love your dog!",Can you take care of my dog this weekend?,Can|you|take|care|of|my|dog|this|weekend?,e0617-a.mp3,e0617-b.mp3,1,user,Matthew.png,right,left,take|care|of
e0618,va0309,take care of,You should take care of yourself when you're sick.,,体調悪い時は自分を大事にしないとね。,,Matthew,,1,Matthew,,___________,,You should take care of yourself when you're sick.,You|should|take|care|of|yourself|when|you're|sick.,e0618-a.mp3,,1,Matthew.png,,left,none,take|care|of
e0619,va0310,carry,Can you help me carry these boxes?,"Sure, where do they go?",この箱運ぶの手伝ってくれる？,うん、どこに置けばいい？,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, where do they go?",Can you help me carry these boxes?,Can|you|help|me|carry|these|boxes?,e0619-a.mp3,e0619-b.mp3,1,user,Kevin.png,right,left,carry
e0620,va0310,carry,"I always carry an umbrella in my bag, just in case.",,念のため、いつもバッグに傘を入れてるんだ。,,Ivy,,1,Ivy,,___________,,"I always carry an umbrella in my bag, just in case.","I|always|carry|an|umbrella|in|my|bag,|just|in|case.",e0620-a.mp3,,1,user,,right,none,carry
e0621,va0311,hope,I hope we win the tournament this weekend.,"Me too, we've worked so hard!",今週末のトーナメント勝てるといいな。,私も、すごく頑張ってきたもんね！,Ivy,Kevin,1,Ivy,Kevin,___________,"Me too, we've worked so hard!",I hope we win the tournament this weekend.,I|hope|we|win|the|tournament|this|weekend.,e0621-a.mp3,e0621-b.mp3,1,user,Kevin.png,right,left,hope
e0622,va0311,hope,I'm hoping to get better grades this semester.,,今学期はもっといい成績を取りたいと思ってるんだ。,,Ivy,,1,Ivy,,___________,,I'm hoping to get better grades this semester.,I'm|hoping|to|get|better|grades|this|semester.,e0622-a.mp3,,1,user,,right,none,hoping
e0623,va0312,put away,Can you put your shoes away?,"Oops, sorry, I'll do it now.",靴片付けてくれる？,あ、ごめん、今やるね。,Ruth,Ivy,1,Ruth,Ivy,___________,"Oops, sorry, I'll do it now.",Can you put your shoes away?,Can|you|put|your|shoes|away?,e0623-a.mp3,e0623-b.mp3,1,05.png,user,left,right,put|away?
e0624,va0312,put away,I put away all my winter clothes already.,,冬服はもう全部しまっちゃったよ。,,Ivy,,1,Ivy,,___________,,I put away all my winter clothes already.,I|put|away|all|my|winter|clothes|already.,e0624-a.mp3,,1,user,,right,none,put|away
e0625,va0313,sleepy,You look so sleepy.,"Yeah, I stayed up too late studying.",すごく眠そうだね。,うん、勉強で夜更かししすぎたんだ。,Kevin,Ivy,1,Kevin,Ivy,___________,"Yeah, I stayed up too late studying.",You look so sleepy.,You|look|so|sleepy.,e0625-a.mp3,e0625-b.mp3,1,Kevin.png,user,left,right,sleepy.
e0626,va0313,sleepy,This class always makes me sleepy after lunch.,,この授業はお昼の後いつも眠くなっちゃうんだ。,,Ivy,,1,Ivy,,___________,,This class always makes me sleepy after lunch.,This|class|always|makes|me|sleepy|after|lunch.,e0626-a.mp3,,1,user,,right,none,sleepy
e0627,va0314,plan,What's your plan for the weekend?,Probably just relaxing at home.,週末の予定は？,たぶん家でゆっくりするだけかな。,Ivy,Kevin,1,Ivy,Kevin,___________,Probably just relaxing at home.,What's your plan for the weekend?,What's|your|plan|for|the|weekend?,e0627-a.mp3,e0627-b.mp3,1,user,Kevin.png,right,left,plan
e0628,va0314,plan,We're planning to visit the aquarium next month.,,来月水族館に行く予定なんだ。,,Ivy,,1,Ivy,,___________,,We're planning to visit the aquarium next month.,We're|planning|to|visit|the|aquarium|next|month.,e0628-a.mp3,,1,user,,right,none,planning
e0629,va0315,second,"Wait a second, I forgot my bag.","Okay, I'll wait here.",ちょっと待って、バッグ忘れた。,わかった、ここで待ってるね。,Ivy,Kevin,1,Ivy,Kevin,___________,"Okay, I'll wait here.","Wait a second, I forgot my bag.","Wait|a|second,|I|forgot|my|bag.",e0629-a.mp3,e0629-b.mp3,1,user,Kevin.png,right,left,"second,"
e0630,va0315,second,This is the second time I've lost my key this week.,,今週これで2回目、鍵なくしちゃったんだ。,,Ivy,,1,Ivy,,___________,,This is the second time I've lost my key this week.,This|is|the|second|time|I've|lost|my|key|this|week.,e0630-a.mp3,,1,user,,right,none,second
e0631,va0316,friendly,Your new classmate seems really friendly.,"Yeah, she talked to everyone on the first day!",新しいクラスメート、すごく親しみやすそうだね。,うん、初日からみんなに話しかけてたよ！,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, she talked to everyone on the first day!",Your new classmate seems really friendly.,Your|new|classmate|seems|really|friendly.,e0631-a.mp3,e0631-b.mp3,1,user,Kevin.png,right,left,friendly.
e0632,va0316,friendly,The staff at that shop are always so friendly.,,あのお店のスタッフはいつもすごく親切なんだ。,,Ivy,,1,Ivy,,___________,,The staff at that shop are always so friendly.,The|staff|at|that|shop|are|always|so|friendly.,e0632-a.mp3,,1,user,,right,none,friendly.
e0633,va0317,near,Is your house near the station?,"Yeah, just a five-minute walk.",君の家は駅の近く？,うん、歩いて5分だよ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Yeah, just a five-minute walk.",Is your house near the station?,Is|your|house|near|the|station?,e0633-a.mp3,e0633-b.mp3,1,user,Kevin.png,right,left,near
e0634,va0317,near,"Winter break is getting near, I can't wait.",,冬休みが近づいてきた、待ちきれないよ。,,Ivy,,1,Ivy,,___________,,"Winter break is getting near, I can't wait.","Winter|break|is|getting|near,|I|can't|wait.",e0634-a.mp3,,1,user,,right,none,"near,"
e0635,va0318,never,Have you ever eaten natto?,"Never, I'm too scared to try it!",納豆食べたことある？,一度もないよ、怖くて試せない！,Ivy,Kevin,2,Ivy,Kevin,Have you ever eaten natto?,___________,"Never, I'm too scared to try it!","Never,|I'm|too|scared|to|try|it!",e0635-a.mp3,e0635-b.mp3,1,user,Kevin.png,right,left,"Never,"
e0636,va0318,never,I'll never forget this trip.,,この旅行のこと、絶対忘れないよ。,,Ivy,,1,Ivy,,___________,,I'll never forget this trip.,I'll|never|forget|this|trip.,e0636-a.mp3,,1,user,,right,none,never
e0637,va0319,angry,Are you still angry about yesterday?,"No, I got over it already.",昨日のことまだ怒ってる？,ううん、もう気にしてないよ。,Kevin,Ivy,1,Kevin,Ivy,___________,"No, I got over it already.",Are you still angry about yesterday?,Are|you|still|angry|about|yesterday?,e0637-a.mp3,e0637-b.mp3,1,Kevin.png,user,left,right,angry
e0638,va0319,angry,He got angry when his brother broke his game controller.,,弟にゲームコントローラー壊されて、彼は怒っちゃったんだ。,,Ivy,,1,Ivy,,___________,,He got angry when his brother broke his game controller.,He|got|angry|when|his|brother|broke|his|game|controller.,e0638-a.mp3,,1,user,,right,none,angry
e0639,va0320,outside,Do you want to eat lunch outside today?,"Sure, it's such nice weather!",今日外でお昼食べない？,いいね、こんなにいい天気だし！,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, it's such nice weather!",Do you want to eat lunch outside today?,Do|you|want|to|eat|lunch|outside|today?,e0639-a.mp3,e0639-b.mp3,1,user,Kevin.png,right,left,outside
e0640,va0320,outside,"It's freezing outside, wear a coat.",,外はすごく寒いから、コート着てね。,,Matthew,,1,Matthew,,___________,,"It's freezing outside, wear a coat.","It's|freezing|outside,|wear|a|coat.",e0640-a.mp3,,1,Matthew.png,,left,none,"outside,"
e0641,va0321,teach,Can you teach me how to solve this problem?,"Sure, it's actually pretty simple.",この問題の解き方教えてくれる？,うん、実はすごく簡単だよ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, it's actually pretty simple.",Can you teach me how to solve this problem?,Can|you|teach|me|how|to|solve|this|problem?,e0641-a.mp3,e0641-b.mp3,1,user,Kevin.png,right,left,teach
e0642,va0321,teach,My grandpa taught me how to fish.,,おじいちゃんが釣りの仕方教えてくれたんだ。,,Ivy,,1,Ivy,,___________,,My grandpa taught me how to fish.,My|grandpa|taught|me|how|to|fish.,e0642-a.mp3,,1,user,,right,none,taught
e0643,va0322,leave,What time does the bus leave?,In about five minutes!,バスは何時に出発するの？,あと5分くらいで！,Ivy,Kevin,1,Ivy,Kevin,___________,In about five minutes!,What time does the bus leave?,What|time|does|the|bus|leave?,e0643-a.mp3,e0643-b.mp3,1,user,Kevin.png,right,left,leave?
e0644,va0322,leave,"I left my jacket at your house, sorry.",,君の家にジャケット忘れちゃった、ごめん。,,Ivy,,1,Ivy,,___________,,"I left my jacket at your house, sorry.","I|left|my|jacket|at|your|house,|sorry.",e0644-a.mp3,,1,user,,right,none,left
e0645,va0323,stay,Can you stay a little longer?,"Sure, I don't have to be home yet.",もう少しいられる？,うん、まだ家に帰らなくても大丈夫。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, I don't have to be home yet.",Can you stay a little longer?,Can|you|stay|a|little|longer?,e0645-a.mp3,e0645-b.mp3,1,user,Kevin.png,right,left,stay
e0646,va0323,stay,We're staying at my aunt's place for the holidays.,,休暇中はおばさんの家に泊まる予定なんだ。,,Ivy,,1,Ivy,,___________,,We're staying at my aunt's place for the holidays.,We're|staying|at|my|aunt's|place|for|the|holidays.,e0646-a.mp3,,1,user,,right,none,staying
e0647,va0324,be proud of,I'm so proud of you for finishing the marathon!,"Thanks, it was really hard!",マラソン完走してすごく誇らしいよ！,ありがとう、本当に大変だった！,Ivy,Kevin,1,Ivy,Kevin,___________,"Thanks, it was really hard!",I'm so proud of you for finishing the marathon!,I'm|so|proud|of|you|for|finishing|the|marathon!,e0647-a.mp3,e0647-b.mp3,1,user,Kevin.png,right,left,proud|of
e0648,va0324,be proud of,My parents are proud of my grades this semester.,,今学期の成績を両親は誇りに思ってくれてるんだ。,,Ivy,,1,Ivy,,___________,,My parents are proud of my grades this semester.,My|parents|are|proud|of|my|grades|this|semester.,e0648-a.mp3,,1,user,,right,none,proud|of
e0649,va0325,side,Which side of the room do you want to sit on?,"The one near the window, please!",部屋のどっち側に座りたい？,窓側がいいな！,Ivy,Kevin,1,Ivy,Kevin,___________,"The one near the window, please!",Which side of the room do you want to sit on?,Which|side|of|the|room|do|you|want|to|sit|on?,e0649-a.mp3,e0649-b.mp3,1,user,Kevin.png,right,left,side
e0650,va0325,side,There's a small scratch on the side of my phone.,,スマホの側面に小さい傷があるんだ。,,Ivy,,1,Ivy,,___________,,There's a small scratch on the side of my phone.,There's|a|small|scratch|on|the|side|of|my|phone.,e0650-a.mp3,,1,user,,right,none,side
e0651,va0326,future,What do you want to do in the future?,Maybe become an animator!,将来何をしたい？,アニメーターになりたいかも！,Ivy,Kevin,1,Ivy,Kevin,___________,Maybe become an animator!,What do you want to do in the future?,What|do|you|want|to|do|in|the|future?,e0651-a.mp3,e0651-b.mp3,1,user,Kevin.png,right,left,future?
e0652,va0326,future,"In the future, robots might do all our chores.",,将来、ロボットが家事全部やってくれるかもね。,,Ivy,,1,Ivy,,___________,,"In the future, robots might do all our chores.","In|the|future,|robots|might|do|all|our|chores.",e0652-a.mp3,,1,user,,right,none,"future,"
e0653,va0327,speak,Can you speak a little slower?,"Sorry, I'll try to slow down.",もう少しゆっくり話してくれる？,ごめん、ゆっくり話すようにするね。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sorry, I'll try to slow down.",Can you speak a little slower?,Can|you|speak|a|little|slower?,e0653-a.mp3,e0653-b.mp3,1,user,Kevin.png,right,left,speak
e0654,va0327,speak,She speaks three languages fluently.,,彼女は3か国語を流暢に話すんだ。,,Ivy,,1,Ivy,,___________,,She speaks three languages fluently.,She|speaks|three|languages|fluently.,e0654-a.mp3,,1,user,,right,none,speaks
e0655,va0328,check,Can you check my homework for mistakes?,"Sure, hand it over.",私の宿題、間違いないかチェックしてくれる？,うん、見せて。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, hand it over.",Can you check my homework for mistakes?,Can|you|check|my|homework|for|mistakes?,e0655-a.mp3,e0655-b.mp3,1,user,Kevin.png,right,left,check
e0656,va0328,check,I should check the weather before we leave.,,出発する前に天気を確認したほうがいいね。,,Ivy,,1,Ivy,,___________,,I should check the weather before we leave.,I|should|check|the|weather|before|we|leave.,e0656-a.mp3,,1,user,,right,none,check
e0657,va0329,fall,"Be careful, don't fall on the ice!","I'll go slow, thanks.",気をつけて、氷で転ばないようにね！,ゆっくり歩くよ、ありがとう。,Kevin,Ivy,1,Kevin,Ivy,___________,"I'll go slow, thanks.","Be careful, don't fall on the ice!","Be|careful,|don't|fall|on|the|ice!",e0657-a.mp3,e0657-b.mp3,1,Kevin.png,user,left,right,fall
e0658,va0329,fall,I fell asleep during the movie last night.,,昨日の夜、映画の途中で眠っちゃったんだ。,,Ivy,,1,Ivy,,___________,,I fell asleep during the movie last night.,I|fell|asleep|during|the|movie|last|night.,e0658-a.mp3,,1,user,,right,none,fell
e0659,va0330,enough,Is this enough rice for everyone?,"Should be, let's see.",このご飯の量、みんなに十分かな？,足りると思うよ、見てみようか。,Ivy,Matthew,1,Ivy,Matthew,___________,"Should be, let's see.",Is this enough rice for everyone?,Is|this|enough|rice|for|everyone?,e0659-a.mp3,e0659-b.mp3,1,user,Matthew.png,right,left,enough
e0660,va0330,enough,I don't think I studied enough for tomorrow's test.,,明日のテスト、あんまり十分に勉強できてない気がする。,,Ivy,,1,Ivy,,___________,,I don't think I studied enough for tomorrow's test.,I|don't|think|I|studied|enough|for|tomorrow's|test.,e0660-a.mp3,,1,user,,right,none,enough
e0661,va0331,rest,"You should rest, you look really tired.","Yeah, I think I will.",休んだほうがいいよ、すごく疲れてそうだし。,うん、そうしようかな。,Kevin,Ivy,1,Kevin,Ivy,___________,"Yeah, I think I will.","You should rest, you look really tired.","You|should|rest,|you|look|really|tired.",e0661-a.mp3,e0661-b.mp3,1,Kevin.png,user,left,right,"rest,"
e0662,va0331,rest,We rested for a bit before climbing the rest of the trail.,,残りの道を登る前に、少し休憩したんだ。,,Ivy,,1,Ivy,,___________,,We rested for a bit before climbing the rest of the trail.,We|rested|for|a|bit|before|climbing|the|rest|of|the|trail.,e0662-a.mp3,,1,user,,right,none,rested
e0663,va0332,different,This tastes different from usual.,Really? I didn't change the recipe.,これいつもと味が違うね。,本当？レシピ変えてないんだけど。,Ivy,Kevin,1,Ivy,Kevin,___________,Really? I didn't change the recipe.,This tastes different from usual.,This|tastes|different|from|usual.,e0663-a.mp3,e0663-b.mp3,1,user,Kevin.png,right,left,different
e0664,va0332,different,Everyone has a different opinion about the movie.,,あの映画についてみんな違う意見を持ってるね。,,Ivy,,1,Ivy,,___________,,Everyone has a different opinion about the movie.,Everyone|has|a|different|opinion|about|the|movie.,e0664-a.mp3,,1,user,,right,none,different
e0665,va0333,quiet,Can you be quiet? The baby's sleeping.,"Oops, sorry!",静かにしてくれる？赤ちゃんが寝てるの。,あ、ごめん！,Matthew,Ivy,1,Matthew,Ivy,___________,"Oops, sorry!",Can you be quiet? The baby's sleeping.,Can|you|be|quiet?|The|baby's|sleeping.,e0665-a.mp3,e0665-b.mp3,1,Matthew.png,user,left,right,quiet?
e0666,va0333,quiet,"The library was so quiet, I could hear my own heartbeat.",,図書館があまりに静かで、自分の心臓の音が聞こえるくらいだったよ。,,Ivy,,1,Ivy,,___________,,"The library was so quiet, I could hear my own heartbeat.","The|library|was|so|quiet,|I|could|hear|my|own|heartbeat.",e0666-a.mp3,,1,user,,right,none,"quiet,"
e0667,va0334,both,Do you want tea or coffee?,"Can I have both, actually?",紅茶とコーヒーどっちがいい？,実は両方もらってもいい？,Ivy,Kevin,2,Ivy,Kevin,Do you want tea or coffee?,___________,"Can I have both, actually?","Can|I|have|both,|actually?",e0667-a.mp3,e0667-b.mp3,1,user,Kevin.png,right,left,"both,"
e0668,va0334,both,Both of my parents work on weekdays.,,私の両親は二人とも平日は働いてるんだ。,,Ivy,,1,Ivy,,___________,,Both of my parents work on weekdays.,Both|of|my|parents|work|on|weekdays.,e0668-a.mp3,,1,user,,right,none,Both
e0669,va0335,real,Is this diamond real?,"No, it's fake, but it looks nice!",このダイヤモンド本物？,ううん、偽物だけど見た目はいいでしょ！,Ivy,Kevin,1,Ivy,Kevin,___________,"No, it's fake, but it looks nice!",Is this diamond real?,Is|this|diamond|real?,e0669-a.mp3,e0669-b.mp3,1,user,Kevin.png,right,left,real?
e0670,va0335,real,I couldn't believe it was real until I saw it myself.,,自分の目で見るまで本物だなんて信じられなかったよ。,,Ivy,,1,Ivy,,___________,,I couldn't believe it was real until I saw it myself.,I|couldn't|believe|it|was|real|until|I|saw|it|myself.,e0670-a.mp3,,1,user,,right,none,real
e0671,va0336,stick,Can you find a stick for the campfire?,"Sure, I'll go look around.",キャンプファイヤー用の棒見つけてくれる？,うん、探しに行ってくるね。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, I'll go look around.",Can you find a stick for the campfire?,Can|you|find|a|stick|for|the|campfire?,e0671-a.mp3,e0671-b.mp3,1,user,Kevin.png,right,left,stick
e0672,va0336,stick,This gum stuck to the bottom of my shoe.,,このガム、靴の裏にくっついちゃったよ。,,Ivy,,1,Ivy,,___________,,This gum stuck to the bottom of my shoe.,This|gum|stuck|to|the|bottom|of|my|shoe.,e0672-a.mp3,,1,user,,right,none,stuck
e0673,va0337,get into,How did you get into painting?,My art teacher inspired me in fourth grade.,どうやって絵を描くのにハマったの？,小4の時の美術の先生に影響されたんだ。,Ivy,Kevin,1,Ivy,Kevin,___________,My art teacher inspired me in fourth grade.,How did you get into painting?,How|did|you|get|into|painting?,e0673-a.mp3,e0673-b.mp3,1,user,Kevin.png,right,left,get|into
e0674,va0337,get into,I've recently gotten into collecting stickers.,,最近シール集めにハマってるんだ。,,Ivy,,1,Ivy,,___________,,I've recently gotten into collecting stickers.,I've|recently|gotten|into|collecting|stickers.,e0674-a.mp3,,1,user,,right,none,gotten|into
e0675,va0338,be born,Where were you born?,"In Fukuoka, actually!",どこで生まれたの？,実は福岡なんだ！,Kevin,Ivy,1,Kevin,Ivy,___________,"In Fukuoka, actually!",Where were you born?,Where|were|you|born?,e0675-a.mp3,e0675-b.mp3,1,Kevin.png,user,left,right,born?
e0676,va0338,be born,My little cousin was born just last week.,,私のいとこの赤ちゃん、先週生まれたばかりなんだ。,,Ivy,,1,Ivy,,___________,,My little cousin was born just last week.,My|little|cousin|was|born|just|last|week.,e0676-a.mp3,,1,user,,right,none,born
e0677,va0339,emoticon,You always use so many emoticons.,"Haha, I can't help it, I love them!",君いつも顔文字たくさん使うよね。,はは、やめられないんだよね、大好きなの！,Ivy,Kevin,1,Ivy,Kevin,___________,"Haha, I can't help it, I love them!",You always use so many emoticons.,You|always|use|so|many|emoticons.,e0677-a.mp3,e0677-b.mp3,1,user,Kevin.png,right,left,emoticons.
e0678,va0339,emoticon,That emoticon perfectly matches how I feel right now.,,その顔文字、今の私の気持ちにぴったりだよ。,,Ivy,,1,Ivy,,___________,,That emoticon perfectly matches how I feel right now.,That|emoticon|perfectly|matches|how|I|feel|right|now.,e0678-a.mp3,,1,user,,right,none,emoticon
e0679,va0340,stop doing,Can you stop tapping your pencil? It's distracting.,"Oh sorry, I didn't notice.",鉛筆でトントンするのやめてくれる？気が散るんだ。,あ、ごめん、気づかなかった。,Ruth,Ivy,1,Ruth,Ivy,___________,"Oh sorry, I didn't notice.",Can you stop tapping your pencil? It's distracting.,Can|you|stop|tapping|your|pencil?|It's|distracting.,e0679-a.mp3,e0679-b.mp3,1,05.png,user,left,right,stop
e0680,va0340,stop doing,I finally stopped biting my nails this year.,,今年やっと爪を噛むのをやめられたんだ。,,Ivy,,1,Ivy,,___________,,I finally stopped biting my nails this year.,I|finally|stopped|biting|my|nails|this|year.,e0680-a.mp3,,1,user,,right,none,stopped
e0681,va0341,few,Do you have a few minutes to talk?,"Sure, what's up?",ちょっと話す時間ある？,うん、どうしたの？,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, what's up?",Do you have a few minutes to talk?,Do|you|have|a|few|minutes|to|talk?,e0681-a.mp3,e0681-b.mp3,1,user,Kevin.png,right,left,few
e0682,va0341,few,Only a few people showed up to the meeting.,,ミーティングにはほんの少しの人しか来なかったよ。,,Ivy,,1,Ivy,,___________,,Only a few people showed up to the meeting.,Only|a|few|people|showed|up|to|the|meeting.,e0682-a.mp3,,1,user,,right,none,few
e0683,va0342,borrow,Can I borrow your eraser?,"Sure, here you go.",消しゴム貸してくれる？,うん、はいどうぞ。,Ivy,Kevin,1,Ivy,Kevin,___________,"Sure, here you go.",Can I borrow your eraser?,Can|I|borrow|your|eraser?,e0683-a.mp3,e0683-b.mp3,1,user,Kevin.png,right,left,borrow
e0684,va0342,borrow,I borrowed this book from the library last week.,,先週この本を図書館で借りたんだ。,,Ivy,,1,Ivy,,___________,,I borrowed this book from the library last week.,I|borrowed|this|book|from|the|library|last|week.,e0684-a.mp3,,1,user,,right,none,borrowed
e0685,va0343,kid,Were you a shy kid?,"Actually, pretty outgoing, believe it or not!",子供の頃、恥ずかしがり屋だった？,実は信じられないかもだけど、結構社交的だったよ！,Kevin,Ivy,1,Kevin,Ivy,___________,"Actually, pretty outgoing, believe it or not!",Were you a shy kid?,Were|you|a|shy|kid?,e0685-a.mp3,e0685-b.mp3,1,Kevin.png,user,left,right,kid?
e0686,va0343,kid,There are so many kids at the park today.,,今日は公園に子供がたくさんいるね。,,Ivy,,1,Ivy,,___________,,There are so many kids at the park today.,There|are|so|many|kids|at|the|park|today.,e0686-a.mp3,,1,user,,right,none,kids
e0687,va0344,language,What language do you want to learn next?,"Maybe Spanish, it sounds fun!",次にどの言語を学びたい？,スペイン語かな、楽しそうだし！,Ivy,Kevin,1,Ivy,Kevin,___________,"Maybe Spanish, it sounds fun!",What language do you want to learn next?,What|language|do|you|want|to|learn|next?,e0687-a.mp3,e0687-b.mp3,1,user,Kevin.png,right,left,language
e0688,va0344,language,She's learning a new language every year.,,彼女は毎年新しい言語を学んでるんだ。,,Ivy,,1,Ivy,,___________,,She's learning a new language every year.,She's|learning|a|new|language|every|year.,e0688-a.mp3,,1,user,,right,none,language
e0689,va0345,guess,Guess what happened at school today!,"No idea, tell me!",今日学校で何があったか当ててみて！,わかんない、教えて！,Ivy,Kevin,1,Ivy,Kevin,___________,"No idea, tell me!",Guess what happened at school today!,Guess|what|happened|at|school|today!,e0689-a.mp3,e0689-b.mp3,1,user,Kevin.png,right,left,Guess
