question_id,arrange_word_id,arrange_word,en1,en2,ja1,ja2,voice1,voice2,included_1or2,highlight_chips,voice1_name,voice2_name,sentence_first_en,sentence_second_en,answer,chips,audio_first,audio_second,audio_auto,icon_first,icon_second,position_first,position_second
e1413,va0707,treasure,We found an old box that looked like treasure.,What was inside? Don't stop there!,宝物みたいな古い箱を見つけたんだ。,中に何が入ってたの？そこで止めないで！,Ivy,Kevin,1,treasure.,Ivy,Kevin,___________,What was inside? Don't stop there!,We found an old box that looked like treasure.,We|found|an|old|box|that|looked|like|treasure.,e1413-a.mp3,e1413-b.mp3,1,user,Kevin.png,right,left
e1414,va0707,treasure,These old photos are a treasure to our family.,,これらの古い写真は、うちの家族にとって宝物です。,,Ruth,,1,treasure,Ruth,,___________,,These old photos are a treasure to our family.,These|old|photos|are|a|treasure|to|our|family.,e1414-a.mp3,,1,05.png,,left,none
e1415,va0708,firework,What time do the fireworks start tonight?,"At eight, so let's leave soon.",今夜の花火って何時から？,8時だよ、だからそろそろ出よう。,Ivy,Matthew,1,fireworks,Ivy,Matthew,___________,"At eight, so let's leave soon.",What time do the fireworks start tonight?,What|time|do|the|fireworks|start|tonight?,e1415-a.mp3,e1415-b.mp3,1,user,Matthew.png,right,left
e1416,va0708,firework,The last firework was the biggest one of all.,,最後の花火が一番大きかった。,,Ivy,,1,firework,Ivy,,___________,,The last firework was the biggest one of all.,The|last|firework|was|the|biggest|one|of|all.,e1416-a.mp3,,1,user,,right,none
e1417,va0709,crush,Be careful not to crush the bread in your bag.,"Too late, it's completely flat.",カバンの中でパンをつぶさないように気をつけて。,もう遅い、ぺったんこだよ。,Ivy,Kevin,1,crush,Ivy,Kevin,___________,"Too late, it's completely flat.",Be careful not to crush the bread in your bag.,Be|careful|not|to|crush|the|bread|in|your|bag.,e1417-a.mp3,e1417-b.mp3,1,user,Kevin.png,right,left
e1418,va0709,crush,I crushed the empty can before putting it in the bin.,,空き缶をつぶしてからごみ箱に入れた。,,Ivy,,1,crushed,Ivy,,___________,,I crushed the empty can before putting it in the bin.,I|crushed|the|empty|can|before|putting|it|in|the|bin.,e1418-a.mp3,,1,user,,right,none
e1419,va0710,examination,The examination will start at nine sharp.,I'll come early to get ready.,試験は9時ちょうどに始まります。,早めに来て準備します。,Ruth,Ivy,1,examination,Ruth,Ivy,___________,I'll come early to get ready.,The examination will start at nine sharp.,The|examination|will|start|at|nine|sharp.,e1419-a.mp3,e1419-b.mp3,1,05.png,user,left,right
e1420,va0710,examination,I studied every night for the entrance examination.,,入学試験のために毎晩勉強した。,,Kevin,,1,examination.,Kevin,,___________,,I studied every night for the entrance examination.,I|studied|every|night|for|the|entrance|examination.,e1420-a.mp3,,1,Kevin.png,,left,none
e1421,va0711,cyberbullying,Today we'll talk about cyberbullying and how to stop it.,I think telling an adult is the first step.,今日はネットいじめと、それをどう止めるかについて話します。,まず大人に伝えることが第一歩だと思います。,Ruth,Ivy,1,cyberbullying,Ruth,Ivy,___________,I think telling an adult is the first step.,Today we'll talk about cyberbullying and how to stop it.,Today|we'll|talk|about|cyberbullying|and|how|to|stop|it.,e1421-a.mp3,e1421-b.mp3,1,05.png,user,left,right
e1422,va0711,cyberbullying,Cyberbullying hurts people even when no one sees it.,,ネットいじめは、誰も見ていなくても人を傷つけます。,,Ivy,,1,Cyberbullying,Ivy,,___________,,Cyberbullying hurts people even when no one sees it.,Cyberbullying|hurts|people|even|when|no|one|sees|it.,e1422-a.mp3,,1,user,,right,none
e1423,va0712,traditional,Is this a traditional dish in your hometown?,"Yes, we make it every New Year.",これは先生の故郷の伝統料理ですか？,ええ、毎年お正月に作るのよ。,Ivy,Ruth,1,traditional,Ivy,Ruth,___________,"Yes, we make it every New Year.",Is this a traditional dish in your hometown?,Is|this|a|traditional|dish|in|your|hometown?,e1423-a.mp3,e1423-b.mp3,1,user,05.png,right,left
e1424,va0712,traditional,I want to introduce a traditional dance from my area.,,私の地域の伝統的な踊りを紹介したいです。,,Ivy,,1,traditional,Ivy,,___________,,I want to introduce a traditional dance from my area.,I|want|to|introduce|a|traditional|dance|from|my|area.,e1424-a.mp3,,1,user,,right,none
e1425,va0713,report,Did you finish your book report yet?,"Almost, I just need the last paragraph.",読書感想文もう終わった？,もう少し、最後の段落だけ。,Kevin,Ivy,1,report,Kevin,Ivy,___________,"Almost, I just need the last paragraph.",Did you finish your book report yet?,Did|you|finish|your|book|report|yet?,e1425-a.mp3,e1425-b.mp3,1,Kevin.png,user,left,right
e1426,va0713,report,Please report the results to me by Friday.,I'll send them tomorrow morning.,金曜までに結果を報告してください。,明日の朝に送ります。,Ruth,Ivy,1,report,Ruth,Ivy,___________,I'll send them tomorrow morning.,Please report the results to me by Friday.,Please|report|the|results|to|me|by|Friday.,e1426-a.mp3,e1426-b.mp3,1,05.png,user,left,right
e1427,va0714,army,An army of ants carried the crumbs away.,They work faster than we do.,アリの大群がパンくずを運んでいったよ。,僕らより働くのが速いね。,Ivy,Kevin,1,army,Ivy,Kevin,___________,They work faster than we do.,An army of ants carried the crumbs away.,An|army|of|ants|carried|the|crumbs|away.,e1427-a.mp3,e1427-b.mp3,1,user,Kevin.png,right,left
e1428,va0714,army,My great-grandfather served in the army long ago.,,ひいおじいちゃんは昔、軍隊にいたんだ。,,Ivy,,1,army,Ivy,,___________,,My great-grandfather served in the army long ago.,My|great-grandfather|served|in|the|army|long|ago.,e1428-a.mp3,,1,user,,right,none
e1429,va0715,factory,We'll visit a chocolate factory on the field trip.,I hope they give us samples.,校外学習でチョコレート工場を見学します。,試食があるといいな。,Ruth,Ivy,1,factory,Ruth,Ivy,___________,I hope they give us samples.,We'll visit a chocolate factory on the field trip.,We'll|visit|a|chocolate|factory|on|the|field|trip.,e1429-a.mp3,e1429-b.mp3,1,05.png,user,left,right
e1430,va0715,factory,My uncle works at a factory that makes bicycles.,,おじは自転車を作る工場で働いているんだ。,,Kevin,,1,factory,Kevin,,___________,,My uncle works at a factory that makes bicycles.,My|uncle|works|at|a|factory|that|makes|bicycles.,e1430-a.mp3,,1,Kevin.png,,left,none
e1431,va0716,article,I read an article about ocean plastic for my report.,"That's a good source, where did you find it?",レポートのために海のプラスチックについての記事を読みました。,いい資料ね、どこで見つけたの？,Ivy,Ruth,1,article,Ivy,Ruth,___________,"That's a good source, where did you find it?",I read an article about ocean plastic for my report.,I|read|an|article|about|ocean|plastic|for|my|report.,e1431-a.mp3,e1431-b.mp3,1,user,05.png,right,left
e1432,va0716,article,The article said that birds can recognize faces.,,その記事には、鳥は顔を見分けられると書いてあった。,,Ivy,,1,article,Ivy,,___________,,The article said that birds can recognize faces.,The|article|said|that|birds|can|recognize|faces.,e1432-a.mp3,,1,user,,right,none
e1433,va0717,space,Is there space for one more chair?,Move the desk a little and there will be.,椅子をもう一つ置くスペースある？,机を少し動かせばできるよ。,Ivy,Kevin,1,space,Ivy,Kevin,___________,Move the desk a little and there will be.,Is there space for one more chair?,Is|there|space|for|one|more|chair?,e1433-a.mp3,e1433-b.mp3,1,user,Kevin.png,right,left
e1434,va0717,space,I've always wanted to travel to space someday.,,いつか宇宙に行ってみたいとずっと思っています。,,Ivy,,1,space,Ivy,,___________,,I've always wanted to travel to space someday.,I've|always|wanted|to|travel|to|space|someday.,e1434-a.mp3,,1,user,,right,none
e1435,va0718,opposite,The library is on the opposite side of the street.,"Thanks, I was walking the wrong way.",図書館は道の反対側だよ。,ありがとう、逆に歩いてた。,Ivy,Kevin,1,opposite,Ivy,Kevin,___________,"Thanks, I was walking the wrong way.",The library is on the opposite side of the street.,The|library|is|on|the|opposite|side|of|the|street.,e1435-a.mp3,e1435-b.mp3,1,user,Kevin.png,right,left
e1436,va0718,opposite,My sister and I have opposite tastes in music.,,姉と私は音楽の好みが正反対。,,Ivy,,1,opposite,Ivy,,___________,,My sister and I have opposite tastes in music.,My|sister|and|I|have|opposite|tastes|in|music.,e1436-a.mp3,,1,user,,right,none
e1437,va0719,discount,Is there a discount for students here?,Show your school card and they'll take ten percent off.,ここは学生割引ある？,学生証を見せれば1割引いてくれるよ。,Ivy,Matthew,1,discount,Ivy,Matthew,___________,Show your school card and they'll take ten percent off.,Is there a discount for students here?,Is|there|a|discount|for|students|here?,e1437-a.mp3,e1437-b.mp3,1,user,Matthew.png,right,left
e1438,va0719,discount,I waited a month and got the game at a discount.,,1か月待って、そのゲームを割引で買えた。,,Kevin,,1,discount.,Kevin,,___________,,I waited a month and got the game at a discount.,I|waited|a|month|and|got|the|game|at|a|discount.,e1438-a.mp3,,1,Kevin.png,,left,none
e1439,va0720,nervous,I'm so nervous about the performance tonight.,"Everyone is, even the people who look calm.",今夜の発表がすごく緊張します。,みんなそうよ、落ち着いて見える人も。,Ivy,Ruth,1,nervous,Ivy,Ruth,___________,"Everyone is, even the people who look calm.",I'm so nervous about the performance tonight.,I'm|so|nervous|about|the|performance|tonight.,e1439-a.mp3,e1439-b.mp3,1,user,05.png,right,left
e1440,va0720,nervous,I get nervous when I have to speak on the phone.,,電話で話さないといけないとき緊張する。,,Kevin,,1,nervous,Kevin,,___________,,I get nervous when I have to speak on the phone.,I|get|nervous|when|I|have|to|speak|on|the|phone.,e1440-a.mp3,,1,Kevin.png,,left,none
e1441,va0721,service,The service at that restaurant was really kind.,Then let's go there again next time.,あのレストランの接客、すごく親切だったね。,じゃあ今度もそこに行こう。,Matthew,Ivy,1,service,Matthew,Ivy,___________,Then let's go there again next time.,The service at that restaurant was really kind.,The|service|at|that|restaurant|was|really|kind.,e1441-a.mp3,e1441-b.mp3,1,Matthew.png,user,left,right
e1442,va0721,service,The bus service stops early on Sundays.,,日曜はバスの運行が早く終わる。,,Ivy,,1,service,Ivy,,___________,,The bus service stops early on Sundays.,The|bus|service|stops|early|on|Sundays.,e1442-a.mp3,,1,user,,right,none
e1443,va0722,meaning,What's the meaning of this word?,Try to guess it from the sentence first.,この単語の意味は何ですか？,まず文から推測してみて。,Ivy,Ruth,1,meaning,Ivy,Ruth,___________,Try to guess it from the sentence first.,What's the meaning of this word?,What's|the|meaning|of|this|word?,e1443-a.mp3,e1443-b.mp3,1,user,05.png,right,left
e1444,va0722,meaning,The song has a deeper meaning than I thought.,,その歌には思っていたより深い意味がある。,,Ivy,,1,meaning,Ivy,,___________,,The song has a deeper meaning than I thought.,The|song|has|a|deeper|meaning|than|I|thought.,e1444-a.mp3,,1,user,,right,none
e1445,va0723,nod,Just nod if you can hear me from the back.,I can hear you clearly.,後ろから聞こえていたら、うなずいてね。,はっきり聞こえます。,Ruth,Ivy,1,nod,Ruth,Ivy,___________,I can hear you clearly.,Just nod if you can hear me from the back.,Just|nod|if|you|can|hear|me|from|the|back.,e1445-a.mp3,e1445-b.mp3,1,05.png,user,left,right
e1446,va0723,nod,"He didn't say anything, but he nodded twice.",,彼は何も言わなかったけど、2回うなずいた。,,Ivy,,1,nodded,Ivy,,___________,,"He didn't say anything, but he nodded twice.","He|didn't|say|anything,|but|he|nodded|twice.",e1446-a.mp3,,1,user,,right,none
e1447,va0724,horrible,The weather was horrible during our camping trip.,Did you stay in the tent all day?,キャンプの間、天気が最悪だった。,一日中テントにいたの？,Ivy,Kevin,1,horrible,Ivy,Kevin,___________,Did you stay in the tent all day?,The weather was horrible during our camping trip.,The|weather|was|horrible|during|our|camping|trip.,e1447-a.mp3,e1447-b.mp3,1,user,Kevin.png,right,left
e1448,va0724,horrible,I made a horrible mistake in the last question.,,最後の問題でひどいミスをしちゃった。,,Ivy,,1,horrible,Ivy,,___________,,I made a horrible mistake in the last question.,I|made|a|horrible|mistake|in|the|last|question.,e1448-a.mp3,,1,user,,right,none
e1449,va0725,horror,Do you want to watch a horror movie with me?,Only if we keep the lights on.,一緒にホラー映画見ない？,電気をつけたままならいいよ。,Ivy,Kevin,1,horror,Ivy,Kevin,___________,Only if we keep the lights on.,Do you want to watch a horror movie with me?,Do|you|want|to|watch|a|horror|movie|with|me?,e1449-a.mp3,e1449-b.mp3,1,user,Kevin.png,right,left
e1450,va0725,horror,I read one horror story and couldn't sleep.,,ホラーの話を1つ読んだら眠れなくなった。,,Ivy,,1,horror,Ivy,,___________,,I read one horror story and couldn't sleep.,I|read|one|horror|story|and|couldn't|sleep.,e1450-a.mp3,,1,user,,right,none
e1451,va0726,fever,"You have a fever, so stay in bed today.",Can you tell my teacher I'll be absent?,熱があるから、今日は寝ていなさい。,先生に休むって伝えてくれる？,Matthew,Ivy,1,"fever,",Matthew,Ivy,___________,Can you tell my teacher I'll be absent?,"You have a fever, so stay in bed today.","You|have|a|fever,|so|stay|in|bed|today.",e1451-a.mp3,e1451-b.mp3,1,Matthew.png,user,left,right
e1452,va0726,fever,My fever went down after I slept for ten hours.,,10時間寝たら熱が下がった。,,Ivy,,1,fever,Ivy,,___________,,My fever went down after I slept for ten hours.,My|fever|went|down|after|I|slept|for|ten|hours.,e1452-a.mp3,,1,user,,right,none
e1453,va0727,field,Let's meet at the field after lunch.,I'll bring the ball.,昼のあとグラウンドで集合しよう。,ボール持っていくね。,Kevin,Ivy,1,field,Kevin,Ivy,___________,I'll bring the ball.,Let's meet at the field after lunch.,Let's|meet|at|the|field|after|lunch.,e1453-a.mp3,e1453-b.mp3,1,Kevin.png,user,left,right
e1454,va0727,field,The field was covered with yellow flowers.,,野原は黄色い花で覆われていた。,,Ivy,,1,field,Ivy,,___________,,The field was covered with yellow flowers.,The|field|was|covered|with|yellow|flowers.,e1454-a.mp3,,1,user,,right,none
e1455,va0728,explain,Could you explain this part one more time?,"Of course, let's look at the diagram.",この部分をもう一度説明してもらえますか？,もちろん、図を見てみましょう。,Ivy,Ruth,1,explain,Ivy,Ruth,___________,"Of course, let's look at the diagram.",Could you explain this part one more time?,Could|you|explain|this|part|one|more|time?,e1455-a.mp3,e1455-b.mp3,1,user,05.png,right,left
e1456,va0728,explain,"I explained the rules, but he still looked confused.",,ルールを説明したけど、彼はまだ困った顔をしていた。,,Kevin,,1,explained,Kevin,,___________,,"I explained the rules, but he still looked confused.","I|explained|the|rules,|but|he|still|looked|confused.",e1456-a.mp3,,1,Kevin.png,,left,none
e1457,va0729,instead,"The pool is closed, so let's go to the park instead.","Good idea, I'll bring my bike.",プールが閉まってるから、代わりに公園に行こう。,いいね、自転車持ってくる。,Ivy,Kevin,1,instead.,Ivy,Kevin,___________,"Good idea, I'll bring my bike.","The pool is closed, so let's go to the park instead.","The|pool|is|closed,|so|let's|go|to|the|park|instead.",e1457-a.mp3,e1457-b.mp3,1,user,Kevin.png,right,left
e1458,va0729,instead,I chose tea instead of coffee this morning.,,今朝はコーヒーの代わりにお茶にした。,,Ivy,,1,instead,Ivy,,___________,,I chose tea instead of coffee this morning.,I|chose|tea|instead|of|coffee|this|morning.,e1458-a.mp3,,1,user,,right,none
e1459,va0730,chest,My chest feels tight after running.,Sit down and breathe slowly for a minute.,走ったあと胸が苦しいんだけど。,座って1分ゆっくり息をしてごらん。,Ivy,Matthew,1,chest,Ivy,Matthew,___________,Sit down and breathe slowly for a minute.,My chest feels tight after running.,My|chest|feels|tight|after|running.,e1459-a.mp3,e1459-b.mp3,1,user,Matthew.png,right,left
e1460,va0730,chest,We found old letters in a wooden chest.,,木の箱の中から古い手紙が出てきた。,,Ivy,,1,chest.,Ivy,,___________,,We found old letters in a wooden chest.,We|found|old|letters|in|a|wooden|chest.,e1460-a.mp3,,1,user,,right,none
e1461,va0731,admit,I have to admit that I didn't read the whole book.,"Thank you for saying so, let's start from chapter one.",正直に言うと、本を全部は読んでいません。,言ってくれてありがとう、第1章から始めましょう。,Ivy,Ruth,1,admit,Ivy,Ruth,___________,"Thank you for saying so, let's start from chapter one.",I have to admit that I didn't read the whole book.,I|have|to|admit|that|I|didn't|read|the|whole|book.,e1461-a.mp3,e1461-b.mp3,1,user,05.png,right,left
e1462,va0731,admit,He finally admitted that he broke the window.,,彼はついに窓を割ったことを認めた。,,Kevin,,1,admitted,Kevin,,___________,,He finally admitted that he broke the window.,He|finally|admitted|that|he|broke|the|window.,e1462-a.mp3,,1,Kevin.png,,left,none
e1463,va0732,bargain,This jacket is half price!,"That's a real bargain, get it.",このジャケット半額だよ！,それは本当にお買い得だ、買いなさい。,Ivy,Matthew,2,"bargain,",Ivy,Matthew,This jacket is half price!,___________,"That's a real bargain, get it.","That's|a|real|bargain,|get|it.",e1463-a.mp3,e1463-b.mp3,1,user,Matthew.png,right,left
e1464,va0732,bargain,I found a bargain at the used bookstore.,,古本屋でお買い得なものを見つけた。,,Ivy,,1,bargain,Ivy,,___________,,I found a bargain at the used bookstore.,I|found|a|bargain|at|the|used|bookstore.,e1464-a.mp3,,1,user,,right,none
e1465,va0733,break up,Let's break up into groups of four.,Can we choose our own members?,4人ずつのグループに分かれましょう。,メンバーは自分たちで選んでいいですか？,Ruth,Ivy,1,break|up,Ruth,Ivy,___________,Can we choose our own members?,Let's break up into groups of four.,Let's|break|up|into|groups|of|four.,e1465-a.mp3,e1465-b.mp3,1,05.png,user,left,right
e1466,va0733,break up,The clouds started to break up after the rain.,,雨のあと、雲が切れ始めた。,,Ivy,,1,break|up,Ivy,,___________,,The clouds started to break up after the rain.,The|clouds|started|to|break|up|after|the|rain.,e1466-a.mp3,,1,user,,right,none
e1467,va0734,human,Making mistakes is part of being human.,That makes me feel a little better.,間違えるのは人間である証拠です。,それを聞いて少し気が楽になりました。,Ruth,Ivy,1,human.,Ruth,Ivy,___________,That makes me feel a little better.,Making mistakes is part of being human.,Making|mistakes|is|part|of|being|human.,e1467-a.mp3,e1467-b.mp3,1,05.png,user,left,right
e1468,va0734,human,The human body is made mostly of water.,,人間の体はほとんどが水でできています。,,Ivy,,1,human,Ivy,,___________,,The human body is made mostly of water.,The|human|body|is|made|mostly|of|water.,e1468-a.mp3,,1,user,,right,none
e1469,va0735,hundreds,Hundreds of people lined up for the new shop.,I'd give up and go home.,新しいお店に何百人も並んでたよ。,僕なら諦めて帰るな。,Ivy,Kevin,1,Hundreds,Ivy,Kevin,___________,I'd give up and go home.,Hundreds of people lined up for the new shop.,Hundreds|of|people|lined|up|for|the|new|shop.,e1469-a.mp3,e1469-b.mp3,1,user,Kevin.png,right,left
e1470,va0735,hundreds,There are hundreds of books in my grandfather's room.,,祖父の部屋には何百冊も本がある。,,Ivy,,1,hundreds,Ivy,,___________,,There are hundreds of books in my grandfather's room.,There|are|hundreds|of|books|in|my|grandfather's|room.,e1470-a.mp3,,1,user,,right,none
e1471,va0736,freeze,Freeze the rest of the soup for tomorrow.,"Okay, I'll put it in a container.",残りのスープは明日のために冷凍しておいて。,はい、容器に入れておきます。,Matthew,Ivy,1,Freeze,Matthew,Ivy,___________,"Okay, I'll put it in a container.",Freeze the rest of the soup for tomorrow.,Freeze|the|rest|of|the|soup|for|tomorrow.,e1471-a.mp3,e1471-b.mp3,1,Matthew.png,user,left,right
e1472,va0736,freeze,The water in the bucket will freeze tonight.,,バケツの水は今夜凍るだろうな。,,Ivy,,1,freeze,Ivy,,___________,,The water in the bucket will freeze tonight.,The|water|in|the|bucket|will|freeze|tonight.,e1472-a.mp3,,1,user,,right,none
e1473,va0737,cost,How much does the ticket cost?,About two thousand yen for students.,チケットはいくらかかるの？,学生なら2千円くらいだよ。,Ivy,Matthew,1,cost?,Ivy,Matthew,___________,About two thousand yen for students.,How much does the ticket cost?,How|much|does|the|ticket|cost?,e1473-a.mp3,e1473-b.mp3,1,user,Matthew.png,right,left
e1474,va0737,cost,The repair cost more than I expected.,,修理は思ったよりお金がかかった。,,Kevin,,1,cost,Kevin,,___________,,The repair cost more than I expected.,The|repair|cost|more|than|I|expected.,e1474-a.mp3,,1,Kevin.png,,left,none
e1475,va0738,repair,Can you repair my bike chain?,Bring it to the garage and I'll look at it.,自転車のチェーン直せる？,車庫に持ってきて、見てみるよ。,Ivy,Matthew,1,repair,Ivy,Matthew,___________,Bring it to the garage and I'll look at it.,Can you repair my bike chain?,Can|you|repair|my|bike|chain?,e1475-a.mp3,e1475-b.mp3,1,user,Matthew.png,right,left
e1476,va0738,repair,The repair took only twenty minutes.,,修理はたった20分で終わった。,,Ivy,,1,repair,Ivy,,___________,,The repair took only twenty minutes.,The|repair|took|only|twenty|minutes.,e1476-a.mp3,,1,user,,right,none
e1477,va0739,be sure of,I'm not sure of the answer to this question.,"Then explain how you got there, step by step.",この問題の答えに自信がありません。,では、どう考えたか順に説明してみて。,Ivy,Ruth,1,sure|of,Ivy,Ruth,___________,"Then explain how you got there, step by step.",I'm not sure of the answer to this question.,I'm|not|sure|of|the|answer|to|this|question.,e1477-a.mp3,e1477-b.mp3,1,user,05.png,right,left
e1478,va0739,be sure of,Are we meeting at six or seven?,"I'm sure of six, I wrote it down.",集合は6時、それとも7時？,6時で間違いない、メモしたから。,Kevin,Ivy,2,sure|of,Kevin,Ivy,Are we meeting at six or seven?,___________,"I'm sure of six, I wrote it down.","I'm|sure|of|six,|I|wrote|it|down.",e1478-a.mp3,e1478-b.mp3,1,Kevin.png,user,left,right
e1479,va0740,melt,My ice cream is starting to melt already.,"Eat it fast, it's really hot today.",アイスがもう溶け始めてる。,早く食べな、今日すごく暑いから。,Ivy,Kevin,1,melt,Ivy,Kevin,___________,"Eat it fast, it's really hot today.",My ice cream is starting to melt already.,My|ice|cream|is|starting|to|melt|already.,e1479-a.mp3,e1479-b.mp3,1,user,Kevin.png,right,left
e1480,va0740,melt,The snow on the roof melted by noon.,,屋根の雪はお昼までに溶けた。,,Ivy,,1,melted,Ivy,,___________,,The snow on the roof melted by noon.,The|snow|on|the|roof|melted|by|noon.,e1480-a.mp3,,1,user,,right,none
e1481,va0741,entrance,Please wait at the entrance until everyone arrives.,Should we line up in order?,全員そろうまで入口で待っていてください。,順番に並んだほうがいいですか？,Ruth,Ivy,1,entrance,Ruth,Ivy,___________,Should we line up in order?,Please wait at the entrance until everyone arrives.,Please|wait|at|the|entrance|until|everyone|arrives.,e1481-a.mp3,e1481-b.mp3,1,05.png,user,left,right
e1482,va0741,entrance,I left my umbrella by the entrance this morning.,,今朝、入口のところに傘を置いてきちゃった。,,Ivy,,1,entrance,Ivy,,___________,,I left my umbrella by the entrance this morning.,I|left|my|umbrella|by|the|entrance|this|morning.,e1482-a.mp3,,1,user,,right,none
e1483,va0742,whether,I can't decide whether to join the art club or the band.,Why not try both for a week?,美術部とバンドのどっちに入るか決められない。,1週間ずつ両方やってみたら？,Ivy,Kevin,1,whether,Ivy,Kevin,___________,Why not try both for a week?,I can't decide whether to join the art club or the band.,I|can't|decide|whether|to|join|the|art|club|or|the|band.,e1483-a.mp3,e1483-b.mp3,1,user,Kevin.png,right,left
e1484,va0742,whether,I wonder whether it will rain during the parade.,,パレードの間、雨が降るかどうか気になる。,,Ivy,,1,whether,Ivy,,___________,,I wonder whether it will rain during the parade.,I|wonder|whether|it|will|rain|during|the|parade.,e1484-a.mp3,,1,user,,right,none
e1485,va0743,assignment,The assignment is due next Wednesday.,Can we work with a partner?,課題の提出は来週の水曜です。,ペアでやってもいいですか？,Ruth,Ivy,1,assignment,Ruth,Ivy,___________,Can we work with a partner?,The assignment is due next Wednesday.,The|assignment|is|due|next|Wednesday.,e1485-a.mp3,e1485-b.mp3,1,05.png,user,left,right
e1486,va0743,assignment,I finished my assignment on the train this morning.,,今朝、電車の中で課題を終わらせた。,,Kevin,,1,assignment,Kevin,,___________,,I finished my assignment on the train this morning.,I|finished|my|assignment|on|the|train|this|morning.,e1486-a.mp3,,1,Kevin.png,,left,none
